Tue Sep 18 12:21:05 PDT 2012
Timestamp, DB min, DB max, DB current, DB used, Core Threads, Active Threads, Queue Tasks, Completed Tasks, Sessions, NIO Read, NIO Written, Queued NIO events, Queues NIO writes
1347999685493,5,25,4,1,17,0,0,0,1,0,0,0,0
1347999690493,5,25,4,1,17,0,0,0,1,0,0,0,0
1347999695493,5,25,4,1,17,0,0,0,1,0,0,0,0
1347999700493,5,25,4,1,17,0,0,0,1,0,0,0,0
1347999705493,5,25,4,1,17,0,0,0,1,0,0,0,0
1347999710493,5,25,4,1,17,0,0,0,1,0,0,0,0
1347999715493,5,25,4,1,17,0,0,0,1,0,0,0,0
1347999720508,5,25,4,1,17,0,0,0,1,0,0,0,0
1347999725493,5,25,3,2,17,0,0,0,1,0,0,0,0
1347999730493,5,25,3,2,17,0,0,0,1,0,0,0,0
1347999735493,5,25,3,2,17,0,0,0,1,0,0,0,0
1347999740493,5,25,4,1,17,0,0,0,1,0,0,0,0
1347999745493,5,25,4,1,17,0,0,0,1,0,0,0,0
1347999750493,5,25,4,1,17,0,0,0,1,0,0,0,0
1347999755493,5,25,4,1,17,0,0,0,1,0,0,0,0
1347999760493,5,25,4,1,17,0,0,0,1,0,0,0,0
1347999765493,5,25,4,1,17,0,0,0,1,0,0,0,0
1347999770493,5,25,4,1,17,0,0,0,1,0,0,0,0
1347999775493,5,25,4,1,17,0,0,0,1,0,0,0,0
1347999780493,5,25,4,1,17,0,0,0,1,0,0,0,0
1347999785493,5,25,3,2,17,0,0,0,1,0,0,0,0
1347999790493,5,25,3,2,17,0,0,0,1,0,0,0,0
1347999795493,5,25,4,1,17,0,0,0,1,0,0,0,0
1347999800493,5,25,5,0,17,0,0,0,1,0,0,0,0
1347999805493,5,25,5,0,17,0,0,0,1,0,0,0,0
1347999810493,5,25,5,0,17,0,0,0,1,0,0,0,0
1347999815493,5,25,5,0,17,0,0,0,1,0,0,0,0
1347999820493,5,25,5,0,17,0,0,0,1,0,0,0,0
1347999825493,5,25,5,0,17,0,0,0,1,0,0,0,0
1347999830493,5,25,5,0,17,0,0,0,1,0,0,0,0
1347999835493,5,25,5,0,17,0,0,0,1,0,0,0,0
1347999840493,5,25,5,0,17,0,0,0,1,0,0,0,0
1347999845493,5,25,4,1,17,0,0,0,1,0,0,0,0
1347999850493,5,25,4,1,17,0,0,0,1,0,0,0,0
1347999855493,5,25,4,1,17,0,0,0,1,0,0,0,0
1347999860493,5,25,5,0,17,0,0,0,1,0,0,0,0
1347999865493,5,25,5,0,17,0,0,0,1,0,0,0,0
1347999870493,5,25,5,0,17,0,0,0,1,0,0,0,0
1347999875493,5,25,5,0,17,0,0,0,1,0,0,0,0
1347999880493,5,25,5,0,17,0,0,0,1,0,0,0,0
1347999885493,5,25,5,0,17,0,0,0,1,0,0,0,0
1347999890493,5,25,5,0,17,0,0,0,1,0,0,0,0
1347999895493,5,25,5,0,17,0,0,0,1,0,0,0,0
1347999900493,5,25,5,0,17,0,0,0,1,0,0,0,0
1347999905493,5,25,4,1,17,0,0,0,1,0,0,0,0
1347999910493,5,25,4,1,17,0,0,0,1,0,0,0,0
1347999915493,5,25,4,1,17,0,0,0,1,0,0,0,0
1347999920493,5,25,5,0,17,0,0,0,1,0,0,0,0
1347999925493,5,25,5,0,17,0,0,0,1,0,0,0,0
1347999930493,5,25,5,0,17,0,0,0,1,0,0,0,0
1347999935493,5,25,5,0,17,0,0,0,1,0,0,0,0
1347999940493,5,25,5,0,17,0,0,0,1,0,0,0,0
1347999945493,5,25,5,0,17,0,0,0,1,0,0,0,0
1347999950493,5,25,5,0,17,0,0,0,1,0,0,0,0
1347999955493,5,25,5,0,17,0,0,0,1,0,0,0,0
1347999960493,5,25,5,0,17,0,0,0,1,0,0,0,0
1347999965493,5,25,4,1,17,0,0,0,1,0,0,0,0
1347999970493,5,25,4,1,17,0,0,0,1,0,0,0,0
1347999975493,5,25,4,1,17,0,0,0,1,0,0,0,0
1347999980493,5,25,5,0,17,0,0,0,1,0,0,0,0
1347999985493,5,25,5,0,17,0,0,0,1,0,0,0,0
1347999990493,5,25,5,0,17,0,0,0,1,0,0,0,0
1347999995493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000000493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000005493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000010493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000015493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000020493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000025493,5,25,4,1,17,0,0,0,1,0,0,0,0
1348000030493,5,25,4,1,17,0,0,0,1,0,0,0,0
1348000035493,5,25,4,1,17,0,0,0,1,0,0,0,0
1348000040493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000045493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000050493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000055493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000060493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000065493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000070493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000075493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000080493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000085493,5,25,4,1,17,0,0,0,1,0,0,0,0
1348000090493,5,25,4,1,17,0,0,0,1,0,0,0,0
1348000095493,5,25,4,1,17,0,0,0,1,0,0,0,0
1348000100493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000105493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000110493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000115493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000120493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000125493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000130493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000135493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000140493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000145493,5,25,4,1,17,0,0,0,1,0,0,0,0
1348000150493,5,25,4,1,17,0,0,0,1,0,0,0,0
1348000155493,5,25,4,1,17,0,0,0,1,0,0,0,0
1348000160493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000165493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000170493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000175493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000180493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000185493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000190493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000195493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000200493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000205493,5,25,4,1,17,0,0,0,1,0,0,0,0
1348000210493,5,25,4,1,17,0,0,0,1,0,0,0,0
1348000215493,5,25,4,1,17,0,0,0,1,0,0,0,0
1348000220493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000225493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000230493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000235493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000240493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000245493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000250493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000255493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000260493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000265493,5,25,4,1,17,0,0,0,1,0,0,0,0
1348000270493,5,25,4,1,17,0,0,0,1,0,0,0,0
